lemma
aikuā
atoha
auka
aupati
epe
hatoa
haumake
hero
hoaku
honai
hāriki
inoa
kaiata
kanaaki
katu
kaupau
kaweke
kiakia
kikiro
kiu
kunukunu
kāhae
kāmi
kānaNa
kānui
kīmata
kīpaNi
kōhio
maunere
mehemehe
muhi
muhimuhi
mōfiri
narenare
nea
NokoNoko
ninī
nironiro
otu
perapera
peri
piaki
pite
poe
pohi
pohu
pohupohu
poroi
raukatu
takanuri
tauwohe
tawe
tehu
totou
tāNai
tāuti
tēhi
tōhuru
tōrero
tūhino
tūpanako
una
uti
wainaNa
waNa
fahi
faraNa
farifari
foifoi
fou
fume
fāipi
fākari
fāfāhi
fō
wohe
wui
wuiwui
ātei
ātina
ae
aha
ahu
aituā
ake
akiaki
ako
akoako
amo
anō
ara
arahi
arataki
arihi
aro
aroaro
aroha
aronui
aru
aruaru
atafai
atu
aukaha
aukati
aumihi
auta
autauta
auē
afi
eke
ekeeke
hae
haehae
haemata
haere
haerehaere
hahao
hahu
haika
haimo
haina
haka
hama
hana
haNa
haNariki
hao
haramai
hari
harihari
hariro
hau
hauhake
hauhau
haukoti
haukū
hautope
hautū
hauware
hauā
hei
heke
here
herehere
heri
heru
hiahia
hiki
hiNi
hiri
hiwi
hoa
hoatu
hoe
hoehoe
hohou
hoki
hoko
hokohoko
hokoi
homai
hoNi
hono
honohono
hopu
hora
horaina
horo
horohoroi
horoi
hou
hourua
hua
huahua
huaki
hui
huihui
huke
huna
hunuhunu
hura
huri
hurihu
hurihuri
huripoki
huripokī
huru
huti
hutihuti
hutu
hā
hākari
hāmene
hāNa
hāNai
hāpa
hāpai
hāfe
hē
hīki
hīkoi
hīmata
hīpoki
hīri
hōhonu
hōmai
hū
hūnuku
hūpoki
iho
iNoa
inoi
inu
io
iri
iriiri
iti
kaha
kai
kaiapo
kaiNa
kaiNākau
kaiNākaunui
kaka
kake
kaNakaNa
kanohi
kanohinohi
kape
kapi
kapo
kara
karaihe
karakia
karamui
karamuimui
karaNa
karapo
karapoti
karapō
karafae
karafiu
karafiufiu
kari
karikari
karo
kata
kati
kato
katoa
kau
kauhau
kaukau
kaumātua
kaupare
kaute
kawe
keka
kere
kereimi
keri
kerikeri
kerēme
kiki
kiko
kikī
kimi
kino
kipakipa
kiri
kite
kitea
kitekite
koha
kohete
kohi
kohiko
kohikohi
kohu
kohukohu
komo
kopenu
kore
kori
korotiaki
korowai
korofiti
kotahi
koti
koutou
kuhu
kuhukuhu
kuku
kukuhu
kume
kumekume
kura
kuru
kurukuru
kuti
kāhaki
kākahu
kānataraka
kāpui
kāpura
kāraNa
kātara
kāfaki
kē
kī
kīa
kīkī
kīnaki
kō
kōhatu
kōhau
kōhua
kōhuru
kōkiri
kōpū
kōrero
kōrerorero
kōroiroi
kōrorirori
kōti
kōtiti
kōfaki
kōfatu
kūare
kūme
kūrararirari
kūrarirari
maha
mahara
mahi
mahia
mahue
mai
maioha
maka
makamaka
mamae
mana
manaaki
manako
manawanui
manawapā
manene
mara
mariNi
matakite
matapaki
matatā
matawa
mate
matekite
mau
mauhere
mauherehere
maukino
maumahara
maumau
maunu
mea
mei
meiha
meiNa
meke
mihi
mihimihi
mimi
mirimiri
mitimiti
moe
moemoeā
moko
mokohōre
momi
momoke
moreha
motu
motuhake
motumotu
moumou
moutini
mui
muku
muru
mākiri
mākutu
mānuka
māori
mārama
mārena
mārika
mātaki
mātakitaki
mātau
mātautau
māuiui
mī
mīNa
