base	variant1	variant2	freq1	freq2	log_odds	derivational	nsyl	type	lemma_freq_corrected	corpus_size	lemma
alkudozik	alkudozok	alkudozom	131	234	-0.576783591557788	zik	3	corpus	14494	8570080167	alkudozik
alkuszik	alkuszok	alkuszom	2	229	-4.339467020255086	szik	2	corpus	17918	8570080167	alkusik
alszik	alszok	alszom	4196	31548	-2.0171719084123705	szik	1	corpus	668614	8570080167	alsik
aluszik	aluszok	aluszom	12	80	-1.8294997972109024	szik	2	corpus	668614	8570080167	alusik
alázkodik	alázkodok	alázkodom	24	46	-0.6312717768418579	NA	3	corpus	1842	8570080167	alázkodik
amerikanizálódik	amerikanizálódok	amerikanizálódom	1	1	0	NA	7	corpus	270	8570080167	amerikanizálódik
amortizálódik	amortizálódok	amortizálódom	2	1	0.4054651081081644	NA	5	corpus	3122	8570080167	amortizálódik
andalodik	andalodok	andalodom	8	1	1.5040773967762742	NA	3	corpus	304	8570080167	andalodik
anekdotázik	anekdotázok	anekdotázom	16	10	0.4353180712578455	zik	4	corpus	1972	8570080167	anekdotázik
anyáskodik	anyáskodok	anyáskodom	7	12	-0.4855078157817008	NA	3	corpus	1025	8570080167	aṉáškodik
apostolkodik	apostolkodok	apostolkodom	2	1	0.4054651081081644	NA	4	corpus	686	8570080167	apoštolkodik
asszimilálódik	asszimilálódok	asszimilálódom	12	6	0.6190392084062235	NA	5	corpus	5757	8570080167	assimilálódik
aszalódik	aszalódok	aszalódom	26	21	0.2047944126460132	NA	3	corpus	2207	8570080167	asalódik
aszik	aszok	aszom	147	21	1.9061698204057993	szik	1	corpus	5633	8570080167	asik
autókázik	autókázok	autókázom	29	18	0.4567584024957149	zik	4	corpus	2943	8570080167	autókázik
autózik	autózok	autózom	544	1088	-0.6922293282697164	zik	3	corpus	53397	8570080167	autózik
avatkozik	avatkozok	avatkozom	139	448	-1.16538046513295	zik	3	corpus	45734	8570080167	avatkozik
bajlódik	bajlódok	bajlódom	373	377	-0.01063839820505575	NA	2	corpus	39724	8570080167	bajlódik
bajoskodik	bajoskodok	bajoskodom	1	3	-0.6931471805599453	NA	3	corpus	101	8570080167	bajoškodik
bakizik	bakizok	bakizom	24	13	0.5798184952529422	zik	2	corpus	1995	8570080167	bakizik
balhézik	balhézok	balhézom	112	5	2.9356283494842854	zik	2	corpus	6131	8570080167	balhézik
barátkozik	barátkozok	barátkozom	287	2017	-1.9469017207776085	zik	3	corpus	50745	8570080167	barátkozik
basáskodik	basáskodok	basáskodom	3	4	-0.2231435513142097	NA	3	corpus	547	8570080167	bašáškodik
beleszerelmesedik	beleszerelmesedek	beleszerelmesedem	28	8	1.1700712526502546	NA	6	corpus	2629	8570080167	beleserelmešedik
berzenkedik	berzenkedek	berzenkedem	77	98	-0.23841102344499823	NA	3	corpus	3632	8570080167	berzenkedik
betaknyosodik	betaknyosodok	betaknyosodom	1	1	0	NA	4	corpus	83	8570080167	betakṉošodik
betegeskedik	betegeskedek	betegeskedem	66	88	-0.28394375034117386	NA	4	corpus	9158	8570080167	betegeškedik
betegszik	betegszek	betegszem	15	129	-2.094945728215801	szik	2	corpus	9223	8570080167	betegsik
betyárkodik	betyárkodok	betyárkodom	7	1	1.3862943611198906	NA	3	corpus	246	8570080167	beṯárkodik
bihánylik	bihánylok	bihánylom	21	5	1.2992829841302609	-lik	2	nonword	NA	NA	biháṉlik
birkózik	birkózok	birkózom	329	762	-0.8381653768239311	zik	2	corpus	38668	8570080167	birkózik
bivejlik	bivejlek	bivejlem	18	8	0.7472144018302211	-lik	2	nonword	NA	NA	bivejlik
bivégszik	bivégszek	bivégszem	7	22	-1.0560526742493137	-szik	2	nonword	NA	NA	bivégsik
bizakodik	bizakodok	bizakodom	448	1122	-0.9167360669961888	NA	3	corpus	30323	8570080167	bizakodik
