base	variant1	variant2	freq1	freq2	log_odds	derivational	nsyl	type	lemma_freq_corrected	corpus_size	lemma
fogyókúrázik	fogyókúrázok	fogyókúrázom	284	197	0.3642221495741153	zik	4	corpus	10254	8570080167	foḏókúrázik
fogódzik	fogódzok	fogódzom	9	31	-1.1631508098056809	zik	2	corpus	1173	8570080167	fogódzik
fogódzkodik	fogódzkodok	fogódzkodom	3	6	-0.5596157879354228	NA	3	corpus	685	8570080167	fogódzkodik
fohászkodik	fohászkodok	fohászkodom	98	1485	-2.7087233751431143	NA	3	corpus	16804	8570080167	foháskodik
foltosodik	foltosodok	foltosodom	4	1	0.9162907318741552	NA	3	corpus	1089	8570080167	foltošodik
folytatódik	folytatódok	folytatódom	27	42	-0.4289956055183584	NA	3	corpus	572068	8570080167	fojtatódik
fontoskodik	fontoskodok	fontoskodom	10	22	-0.7375989431307791	NA	3	corpus	2612	8570080167	fontoškodik
fonódik	fonódok	fonódom	8	17	-0.6931471805599453	NA	2	corpus	18743	8570080167	fonódik
forgolódik	forgolódok	forgolódom	483	366	0.27672305866206137	NA	3	corpus	18063	8570080167	forgolódik
formálódik	formálódok	formálódom	58	86	-0.38837067474886433	NA	3	corpus	36394	8570080167	formálódik
formásodik	formásodok	formásodom	3	2	0.28768207245178085	NA	3	corpus	664	8570080167	formášodik
forrósodik	forrósodok	forrósodom	4	2	0.5108256237659907	NA	3	corpus	4210	8570080167	forróšodik
fretszik	fretszek	fretszem	13	13	0	-szik	1	nonword	NA	NA	fretsik
frilegszik	frilegszek	frilegszem	11	15	-0.2876820724517809	-szik	2	nonword	NA	NA	frilegsik
friszlik	friszlok	friszlom	15	14	0.06453852113757116	-lik	1	nonword	NA	NA	frislik
frivajlik	frivajlok	frivajlom	21	5	1.2992829841302609	-lik	2	nonword	NA	NA	frivajlik
frodlik	frodlok	frodlom	20	9	0.7419373447293773	-lik	1	nonword	NA	NA	frodlik
frágapszik	frágapszok	frágapszom	11	16	-0.3483066942682157	-szik	2	nonword	NA	NA	frágapsik
fukarkodik	fukarkodok	fukarkodom	16	70	-1.4294665329850993	NA	3	corpus	8454	8570080167	fukarkodik
fulladozik	fulladozok	fulladozom	75	122	-0.48145101508608634	zik	3	corpus	4240	8570080167	fulladozik
furakszik	furakszok	furakszom	1	33	-2.833213344056216	szik	2	corpus	4959	8570080167	furaksik
furulyázik	furulyázok	furulyázom	51	25	0.6931471805599453	zik	3	corpus	3355	8570080167	furujázik
futamodik	futamodok	futamodom	84	20	1.3981288187668934	NA	3	corpus	3227	8570080167	futamodik
futballozik	futballozok	futballozom	97	361	-1.3066767331551992	zik	3	corpus	36728	8570080167	futballozik
futkározik	futkározok	futkározom	122	27	1.4799798451972137	zik	3	corpus	9294	8570080167	futkározik
fuvolázik	fuvolázok	fuvolázom	20	50	-0.8873031950009028	zik	3	corpus	2514	8570080167	fuvolázik
fáradozik	fáradozok	fáradozom	195	828	-1.4421054959047777	zik	3	corpus	40305	8570080167	fáradozik
fázik	fázok	fázom	1255	8936	-1.962267894353248	zik	1	corpus	77143	8570080167	fázik
féjzik	féjzek	féjzem	16	10	0.4353180712578455	-zik	1	nonword	NA	NA	féjzik
féltékenykedik	féltékenykedek	féltékenykedem	398	30	2.554974212404717	NA	4	corpus	3256	8570080167	féltékeṉkedik
fényesedik	fényesedek	fényesedem	9	1	1.6094379124341005	NA	3	corpus	2301	8570080167	féṉešedik
férkőzik	férkőzök	férkőzöm	5	11	-0.6931471805599453	zik	2	corpus	18255	8570080167	férkőzik
fészkelődik	fészkelődök	fészkelődöm	66	91	-0.31709595765807425	NA	3	corpus	5381	8570080167	féskelődik
fésülködik	fésülködök	fésülködöm	55	83	-0.4054651081081645	NA	3	corpus	2935	8570080167	féšülködik
fölényeskedik	fölényeskedek	fölényeskedem	13	1	1.9459101490553132	NA	4	corpus	1263	8570080167	föléṉeškedik
fújódik	fújódok	fújódom	5	5	0	NA	2	corpus	1344	8570080167	fújódik
fúródik	fúródok	fúródom	7	3	0.6931471805599453	NA	2	corpus	8002	8570080167	fúródik
függeszkedik	függeszkedek	függeszkedem	9	3	0.9162907318741552	NA	3	corpus	1411	8570080167	függeskedik
függetlenedik	függetlenedek	függetlenedem	1	3	-0.6931471805599453	NA	4	corpus	5837	8570080167	függetlenedik
fürdőzik	fürdőzök	fürdőzöm	213	3	3.979681653901961	zik	2	corpus	12429	8570080167	fürdőzik
főzőcskézik	főzőcskézek	főzőcskézem	367	3	4.5217885770490405	zik	3	corpus	4801	8570080167	főzőčkézik
fűződik	fűződök	fűződöm	10	12	-0.1670540846631662	NA	2	corpus	121731	8570080167	fűződik
garasoskodik	garasoskodok	garasoskodom	4	9	-0.6931471805599453	NA	4	corpus	493	8570080167	garašoškodik
garázdálkodik	garázdálkodok	garázdálkodom	59	70	-0.16833531481921477	NA	4	corpus	10887	8570080167	garázdálkodik
gazdagodik	gazdagodok	gazdagodom	112	309	-1.0091844787668514	NA	3	corpus	134939	8570080167	gazdagodik
gazdagszik	gazdagszok	gazdagszom	4	58	-2.468099531471619	szik	2	corpus	134939	8570080167	gazdagsik
gazdálkodik	gazdálkodok	gazdálkodom	180	601	-1.2017604140429952	NA	3	corpus	93581	8570080167	gazdálkodik
gerénylik	gerénylek	gerénylem	23	3	1.791759469228055	-lik	2	nonword	NA	NA	geréṉlik
gilárzik	gilárzok	gilárzom	8	21	-0.8938178760220964	-zik	2	nonword	NA	NA	gilárzik
gondolkodik	gondolkodok	gondolkodom	5733	47704	-2.1186228467426313	NA	3	corpus	706718	8570080167	gondolkodik
gondolkozik	gondolkozok	gondolkozom	3704	17669	-1.5621850275835547	zik	3	corpus	253771	8570080167	gondolkozik
gondoskodik	gondoskodok	gondoskodom	426	4334	-2.3176928759860176	NA	3	corpus	785316	8570080167	gondoškodik
gonoszkodik	gonoszkodok	gonoszkodom	48	88	-0.5968160716215132	NA	3	corpus	2552	8570080167	gonoskodik
gorombáskodik	gorombáskodok	gorombáskodom	2	7	-0.9808292530117262	NA	4	corpus	819	8570080167	gorombáškodik
gyakornokoskodik	gyakornokoskodok	gyakornokoskodom	3	21	-1.7047480922384253	NA	5	corpus	1364	8570080167	ḏakornokoškodik
gyanakszik	gyanakszok	gyanakszom	226	4780	-3.0474549911447006	szik	2	corpus	68227	8570080167	ḏanaksik
gyarapszik	gyarapszok	gyarapszom	3	33	-2.1400661634962708	szik	2	corpus	86849	8570080167	ḏarapsik
gyengélkedik	gyengélkedek	gyengélkedem	9	60	-1.8082887711792657	NA	3	corpus	6911	8570080167	ḏengélkedik
gyibakszik	gyibakszok	gyibakszom	9	17	-0.587786664902119	-szik	2	nonword	NA	NA	ḏibaksik
gyibeslik	gyibeslek	gyibeslem	18	9	0.6418538861723947	-lik	2	nonword	NA	NA	ḏibešlik
gyivádzik	gyivádzok	gyivádzom	9	18	-0.6418538861723948	-zik	2	nonword	NA	NA	ḏivádzik
gyökeredzik	gyökeredzek	gyökeredzem	1	1	0	zik	3	corpus	3833	8570080167	ḏökeredzik
gyöngyözik	gyöngyözök	gyöngyözöm	34	5	1.7635885922613586	zik	2	corpus	7379	8570080167	ḏönḏözik
gyönyörködik	gyönyörködök	gyönyörködöm	338	3902	-2.4435006598001645	NA	3	corpus	112176	8570080167	ḏöṉörködik
gyötrődik	gyötrődök	gyötrődöm	59	521	-2.1633230256605382	NA	2	corpus	7873	8570080167	ḏötrődik
gyúródik	gyúródok	gyúródom	2	3	-0.2876820724517809	NA	2	corpus	339	8570080167	ḏúródik
győzedelmeskedik	győzedelmeskedek	győzedelmeskedem	10	3	1.01160091167848	NA	5	corpus	24170	8570080167	ḏőzedelmeškedik
győzködik	győzködök	győzködöm	134	14	2.1972245773362196	NA	2	corpus	22154	8570080167	ḏőzködik
győződik	győződök	győződöm	52	97	-0.61467556511845	NA	2	corpus	138711	8570080167	ḏőződik
gyűlölködik	gyűlölködök	gyűlölködöm	71	102	-0.35806286921358044	NA	3	corpus	6178	8570080167	ḏűlölködik
gyűrődik	gyűrődök	gyűrődöm	4	7	-0.4700036292457356	NA	2	corpus	5974	8570080167	ḏűrődik
gáncsoskodik	gáncsoskodok	gáncsoskodom	4	3	0.22314355131420976	NA	3	corpus	430	8570080167	gánčoškodik
gömbölyödik	gömbölyödök	gömbölyödöm	36	37	-0.02666824708216129	NA	3	corpus	3513	8570080167	gömböjödik
görnyedezik	görnyedezek	görnyedezem	9	4	0.6931471805599453	zik	3	corpus	804	8570080167	görṉedezik
gúnyolódik	gúnyolódok	gúnyolódom	196	108	0.5918558465088448	NA	3	corpus	12545	8570080167	gúṉolódik
gőgösködik	gőgösködök	gőgösködöm	1	1	0	NA	3	corpus	206	8570080167	gőgöšködik
hadakozik	hadakozok	hadakozom	99	214	-0.7654678421395714	zik	3	corpus	14604	8570080167	hadakozik
hagyakozik	hagyakozok	hagyakozom	1	2	-0.4054651081081645	zik	3	corpus	116	8570080167	haḏakozik
hagyatkozik	hagyatkozok	hagyatkozom	221	1553	-1.9459101490553137	zik	3	corpus	65502	8570080167	haḏatkozik
hajladozik	hajladozok	hajladozom	13	13	0	zik	3	corpus	3901	8570080167	hajladozik
hajókázik	hajókázok	hajókázom	15	4	1.1631508098056809	zik	3	corpus	4918	8570080167	hajókázik
hajózik	hajózok	hajózom	386	247	0.4449959468647997	zik	2	corpus	33540	8570080167	hajózik
haldoklik	haldoklok	haldoklom	102	61	0.5075946031845443	lik	2	corpus	21831	8570080167	haldoklik
hallgatódzik	hallgatódzok	hallgatódzom	10	10	0	zik	3	corpus	8614	8570080167	hallgatódzik
halmozódik	halmozódok	halmozódom	1	1	0	NA	3	corpus	31519	8570080167	halmozódik
halványodik	halványodok	halványodom	2	7	-0.9808292530117262	NA	3	corpus	5957	8570080167	halváṉodik
halódik	halódok	halódom	7	13	-0.5596157879354228	NA	2	corpus	1397	8570080167	halódik
hamarkodik	hamarkodok	hamarkodom	4	5	-0.1823215567939546	NA	3	corpus	1217	8570080167	hamarkodik
hangolódik	hangolódok	hangolódom	174	189	-0.08223809823697212	NA	3	corpus	27076	8570080167	hangolódik
hangoskodik	hangoskodok	hangoskodom	54	36	0.3964152725882464	NA	3	corpus	8641	8570080167	hangoškodik
hanyatlik	hanyatlok	hanyatlom	47	6	1.9252908618525777	lik	2	corpus	15385	8570080167	haṉatlik
haragszik	haragszok	haragszom	812	14959	-2.9124041419806574	szik	2	corpus	129179	8570080167	haragsik
harangozik	harangozok	harangozom	62	38	0.4795730802618863	zik	3	corpus	13662	8570080167	harangozik
harmonikázik	harmonikázok	harmonikázom	20	14	0.3364722366212129	zik	4	corpus	1234	8570080167	harmonikázik
haszontalankodik	haszontalankodok	haszontalankodom	2	5	-0.6931471805599453	NA	5	corpus	65	8570080167	hasontalankodik
hatalmaskodik	hatalmaskodok	hatalmaskodom	8	7	0.11778303565638346	NA	4	corpus	1696	8570080167	hatalmaškodik
hatódik	hatódok	hatódom	85	42	0.6931471805599453	NA	2	corpus	3690	8570080167	hatódik
haverkodik	haverkodok	haverkodom	149	26	1.7147984280919266	NA	3	corpus	3524	8570080167	haverkodik
hazudozik	hazudozok	hazudozom	225	60	1.3096611350989746	zik	3	corpus	13233	8570080167	hazudozik
heccelődik	heccelődök	heccelődöm	2	1	0.4054651081081644	NA	3	corpus	187	8570080167	heccelődik
helyezkedik	helyezkedek	helyezkedem	465	702	-0.41117125768501905	NA	3	corpus	435311	8570080167	hejezkedik
herégszik	herégszek	herégszem	9	18	-0.6418538861723948	-szik	2	nonword	NA	NA	herégsik
heveskedik	heveskedek	heveskedem	3	1	0.6931471805599453	NA	3	corpus	472	8570080167	heveškedik
hibázik	hibázok	hibázom	1776	489	1.288276437049979	zik	2	corpus	154009	8570080167	hibázik
hilarzik	hilarzok	hilarzom	14	13	0.06899287148695142	-zik	2	nonword	NA	NA	hilarzik
himbálódzik	himbálódzok	himbálódzom	1	7	-1.3862943611198906	zik	3	corpus	3641	8570080167	himbálódzik
hintázik	hintázok	hintázom	72	55	0.2651077504132419	zik	2	corpus	9317	8570080167	hintázik
hiszik	hiszok	hiszom	5	1	1.0986122886681098	szik	1	corpus	3584445	8570080167	hisik
hitetlenkedik	hitetlenkedek	hitetlenkedem	124	74	0.5108256237659907	NA	4	corpus	11667	8570080167	hitetlenkedik
hivalkodik	hivalkodok	hivalkodom	11	32	-1.01160091167848	NA	3	corpus	3478	8570080167	hivalkodik
hivatkozik	hivatkozok	hivatkozom	973	3961	-1.403092923615961	zik	3	corpus	508241	8570080167	hivatkozik
hiányzik	hiányzok	hiányzom	625	1724	-1.0136319583653617	zik	2	corpus	686890	8570080167	hiáṉzik
homályosodik	homályosodok	homályosodom	1	1	0	NA	4	corpus	1033	8570080167	homájošodik
hozakodik	hozakodok	hozakodom	125	276	-0.7877355992358605	NA	3	corpus	6156	8570080167	hozakodik
huklik	huklok	huklom	13	14	-0.06899287148695143	-lik	1	nonword	NA	NA	huklik
huligánkodik	huligánkodok	huligánkodom	2	1	0.4054651081081644	NA	4	corpus	137	8570080167	huligánkodik
hunyászkodik	hunyászkodok	hunyászkodom	5	20	-1.252762968495368	NA	3	corpus	685	8570080167	huṉáskodik
hurcolkodik	hurcolkodok	hurcolkodom	6	8	-0.25131442828090605	NA	3	corpus	745	8570080167	hurcolkodik
hurjorzik	hurjorzok	hurjorzom	14	13	0.06899287148695142	-zik	2	nonword	NA	NA	hurjorzik
huroslik	huroslok	huroslom	22	7	1.0560526742493137	-lik	2	nonword	NA	NA	hurošlik
huzakodik	huzakodok	huzakodom	13	7	0.5596157879354227	NA	3	corpus	1262	8570080167	huzakodik
háborodik	háborodok	háborodom	172	79	0.7712649598238974	NA	3	corpus	17472	8570080167	háborodik
háborúzik	háborúzok	háborúzom	56	12	1.4781019103730135	zik	3	corpus	11765	8570080167	háborúzik
hájasodik	hájasodok	hájasodom	3	1	0.6931471805599453	NA	3	corpus	91	8570080167	hájašodik
hálálkodik	hálálkodok	hálálkodom	22	84	-1.3071570405611668	NA	3	corpus	5921	8570080167	hálálkodik
hánykolódik	hánykolódok	hánykolódom	42	92	-0.7713993774596936	NA	3	corpus	5657	8570080167	háṉkolódik
hánykódik	hánykódok	hánykódom	6	24	-1.272965675812887	NA	2	corpus	1146	8570080167	háṉkódik
hányódik	hányódok	hányódom	4	65	-2.580216829592325	NA	2	corpus	3101	8570080167	háṉódik
házasodik	házasodok	házasodom	78	102	-0.2652811357626143	NA	3	corpus	48749	8570080167	házašodik
hízik	hízok	hízom	1529	681	0.807993356543019	zik	1	corpus	63813	8570080167	hízik
húzódik	húzódok	húzódom	406	406	0	NA	2	corpus	188010	8570080167	húzódik
húzódozik	húzódozok	húzódozom	19	82	-1.423108334242607	zik	3	corpus	2929	8570080167	húzódozik
húzódzkodik	húzódzkodok	húzódzkodom	101	42	0.8637726975907087	NA	3	corpus	1709	8570080167	húzódzkodik
hüledezik	hüledezek	hüledezem	147	5	3.20545280453606	zik	3	corpus	4646	8570080167	hüledezik
hülyéskedik	hülyéskedek	hülyéskedem	518	25	2.9938073451444067	NA	3	corpus	8587	8570080167	hüjéškedik
hősködik	hősködök	hősködöm	18	125	-1.8918429277850377	NA	2	corpus	1727	8570080167	hőšködik
hűgzik	hűgzök	hűgzöm	13	13	0	-zik	1	nonword	NA	NA	hűgzik
hűtlenkedik	hűtlenkedek	hűtlenkedem	6	12	-0.6190392084062235	NA	3	corpus	605	8570080167	hűtlenkedik
ibáglik	ibáglok	ibáglom	18	9	0.6418538861723947	-lik	2	nonword	NA	NA	ibáglik
ibékszik	ibékszek	ibékszem	10	16	-0.4353180712578455	-szik	2	nonword	NA	NA	ibéksik
idegenedik	idegenedek	idegenedem	7	1	1.3862943611198906	NA	4	corpus	768	8570080167	idegenedik
idegenkedik	idegenkedek	idegenkedem	433	780	-0.5875306157392811	NA	4	corpus	24833	8570080167	idegenkedik
idegeskedik	idegeskedek	idegeskedem	685	241	1.0419399015691988	NA	4	corpus	17271	8570080167	idegeškedik
idétlenkedik	idétlenkedek	idétlenkedem	24	10	0.8209805520698303	NA	4	corpus	901	8570080167	idétlenkedik
idősödik	idősödök	idősödöm	41	351	-2.125961557314729	NA	3	corpus	4870	8570080167	időšödik
időzik	időzök	időzöm	594	242	0.8954999622050813	zik	2	corpus	38358	8570080167	időzik
igazodik	igazodok	igazodom	451	486	-0.07458194325035862	NA	3	corpus	195863	8570080167	igazodik
igyekszik	igyekszek	igyekszem	4306	166088	-3.6522821831887295	szik	2	corpus	1372052	8570080167	iḏeksik
illetlenkedik	illetlenkedek	illetlenkedem	3	3	0	NA	4	corpus	141	8570080167	illetlenkedik
illetődik	illetődök	illetődöm	2	5	-0.6931471805599453	NA	3	corpus	1961	8570080167	illetődik
imádkozik	imádkozok	imádkozom	995	13082	-2.575321698926278	zik	3	corpus	319092	8570080167	imádkozik
indulatoskodik	indulatoskodok	indulatoskodom	1	4	-0.916290731874155	NA	5	corpus	171	8570080167	indulatoškodik
informálódik	informálódok	informálódom	162	105	0.4303111066946952	NA	4	corpus	20387	8570080167	informálódik
ingadozik	ingadozok	ingadozom	103	233	-0.8109302162163288	zik	3	corpus	33254	8570080167	ingadozik
ingerkedik	ingerkedek	ingerkedem	1	5	-1.0986122886681098	NA	3	corpus	578	8570080167	ingerkedik
integrálódik	integrálódok	integrálódom	7	5	0.28768207245178085	NA	4	corpus	20468	8570080167	integrálódik
iparkodik	iparkodok	iparkodom	99	244	-0.8960880245566356	NA	3	corpus	13706	8570080167	iparkodik
irigykedik	irigykedek	irigykedem	684	1140	-0.5102415115998503	NA	3	corpus	28990	8570080167	iriḏkedik
irtózik	irtózok	irtózom	242	2305	-2.2502082574884557	zik	2	corpus	15667	8570080167	irtózik
ismerkedik	ismerkedek	ismerkedem	3586	3541	0.01262465918950368	NA	3	corpus	344220	8570080167	išmerkedik
ismerszik	ismerszek	ismerszem	3	2	0.28768207245178085	szik	2	corpus	7941	8570080167	išmersik
istenkedik	istenkedek	istenkedem	2	1	0.4054651081081644	NA	3	corpus	212	8570080167	ištenkedik
iszik	iszek	iszem	9	2	1.203972804325936	szik	1	corpus	651299	8570080167	isik
iszonyodik	iszonyodok	iszonyodom	35	233	-1.8718021769015911	NA	3	corpus	3335	8570080167	isoṉodik
itatódik	itatódok	itatódom	1	2	-0.4054651081081645	NA	3	corpus	587	8570080167	itatódik
izgágáskodik	izgágáskodok	izgágáskodom	4	3	0.22314355131420976	NA	4	corpus	102	8570080167	izgágáškodik
izmosodik	izmosodok	izmosodom	43	66	-0.42050298547270487	NA	3	corpus	4740	8570080167	izmošodik
izolálódik	izolálódok	izolálódom	2	2	0	NA	4	corpus	876	8570080167	izolálódik
jelentkezik	jelentkezek	jelentkezem	3113	18823	-1.7992245780132547	zik	3	corpus	1317571	8570080167	jelentkezik
jeleskedik	jeleskedek	jeleskedem	109	123	-0.11980119981262063	NA	3	corpus	26740	8570080167	jeleškedik
jogászkodik	jogászkodok	jogászkodom	5	19	-1.203972804325936	NA	3	corpus	881	8570080167	jogáskodik
jonylik	jonylok	jonylom	21	8	0.8938178760220965	-lik	1	nonword	NA	NA	joṉlik
juhászkodik	juhászkodok	juhászkodom	1	2	-0.4054651081081645	NA	3	corpus	105	8570080167	juháskodik
juszlik	juszlok	juszlom	18	11	0.4595323293784402	-lik	1	nonword	NA	NA	juslik
játszadozik	játszadozok	játszadozom	92	398	-1.4563619237366077	zik	3	corpus	20243	8570080167	játsadozik
játszik	játszok	játszom	13656	44995	-1.192321386234292	szik	1	corpus	2672605	8570080167	játsik
játszódik	játszódok	játszódom	16	11	0.3483066942682158	NA	2	corpus	142955	8570080167	játsódik
jógázik	jógázok	jógázom	335	1417	-1.439891547128869	zik	2	corpus	17732	8570080167	jógázik
jóllakik	jóllakok	jóllakom	119	19	1.791759469228055	NA	2	corpus	27189	8570080167	jóllakik
józanodik	józanodok	józanodom	24	26	-0.07696104113612832	NA	3	corpus	1799	8570080167	józanodik
jüslik	jüslök	jüslöm	20	7	0.965080896043587	-lik	1	nonword	NA	NA	jüšlik
kacsázik	kacsázok	kacsázom	48	5	2.1000608288825715	zik	2	corpus	1895	8570080167	kačázik
kacérkodik	kacérkodok	kacérkodom	298	897	-1.099726494911513	NA	3	corpus	13978	8570080167	kacérkodik
kajakozik	kajakozok	kajakozom	51	97	-0.63372376008914455	zik	3	corpus	4622	8570080167	kajakozik
kajánkodik	kajánkodok	kajánkodom	17	1	2.1972245773362196	NA	3	corpus	917	8570080167	kajánkodik
kallódik	kallódok	kallódom	8	6	0.25131442828090617	NA	2	corpus	5181	8570080167	kallódik
kalózkodik	kalózkodok	kalózkodom	12	18	-0.3794896217049037	NA	3	corpus	1080	8570080167	kalózkodik
kamaszodik	kamaszodok	kamaszodom	6	9	-0.35667494393873245	NA	3	corpus	1964	8570080167	kamasodik
kaparászik	kaparászok	kaparászom	27	41	-0.4054651081081645	szik	3	corpus	2081	8570080167	kaparásik
kapaszkodik	kapaszkodok	kapaszkodom	947	1846	-0.6669634779442181	NA	3	corpus	113682	8570080167	kapaskodik
kapcsolódik	kapcsolódok	kapcsolódom	659	1060	-0.4747273035935119	NA	3	corpus	635457	8570080167	kapčolódik
kapálódzik	kapálódzok	kapálódzom	40	26	0.4177352006999788	zik	3	corpus	6110	8570080167	kapálódzik
karcsúsodik	karcsúsodok	karcsúsodom	4	6	-0.3364722366212129	NA	3	corpus	1804	8570080167	karčúšodik
kardoskodik	kardoskodok	kardoskodom	103	189	-0.6026331730191135	NA	3	corpus	6275	8570080167	kardoškodik
karikázik	karikázok	karikázom	94	30	1.1198896871153945	zik	3	corpus	14609	8570080167	karikázik
katonáskodik	katonáskodok	katonáskodom	1	4	-0.916290731874155	NA	4	corpus	2521	8570080167	katonáškodik
kedveskedik	kedveskedek	kedveskedem	496	130	1.3333927028954773	NA	3	corpus	70883	8570080167	kedveškedik
kedvetlenedik	kedvetlenedek	kedvetlenedem	9	1	1.6094379124341005	NA	4	corpus	491	8570080167	kedvetlenedik
kedélyeskedik	kedélyeskedek	kedélyeskedem	1	2	-0.4054651081081645	NA	4	corpus	364	8570080167	kedéješkedik
kegyeskedik	kegyeskedek	kegyeskedem	18	7	0.8649974374866045	NA	3	corpus	2677	8570080167	keḏeškedik
kegyetlenkedik	kegyetlenkedek	kegyetlenkedem	3	3	0	NA	4	corpus	1899	8570080167	keḏetlenkedik
kekeckedik	kekeckedek	kekeckedem	109	44	0.8938178760220965	NA	3	corpus	3302	8570080167	kekeckedik
kellemetlenkedik	kellemetlenkedek	kellemetlenkedem	14	14	0	NA	5	corpus	1776	8570080167	kellemetlenkedik
kelletlenkedik	kelletlenkedek	kelletlenkedem	2	1	0.4054651081081644	NA	4	corpus	105	8570080167	kelletlenkedik
keményedik	keményedek	keményedem	60	1	3.417726683613366	NA	3	corpus	8028	8570080167	keméṉedik
kenődik	kenődök	kenődöm	12	2	1.466337068793427	NA	2	corpus	4832	8570080167	kenődik
kerekedik	kerekedek	kerekedem	69	40	0.5349231753450512	NA	3	corpus	69864	8570080167	kerekedik
kerekezik	kerekezek	kerekezem	165	55	1.086636097621394	zik	3	corpus	7868	8570080167	kerekezik
kereskedik	kereskedek	kereskedem	635	348	0.600126641137695	NA	3	corpus	48423	8570080167	kereškedik
kergetőzik	kergetőzök	kergetőzöm	10	10	0	zik	3	corpus	5058	8570080167	kergetőzik
keringőzik	keringőzök	keringőzöm	18	2	1.8458266904983307	zik	3	corpus	2274	8570080167	keringőzik
kertészkedik	kertészkedek	kertészkedem	814	911	-0.1124518768334687	NA	3	corpus	14951	8570080167	kertéskedik
kerékpározik	kerékpározok	kerékpározom	636	455	0.33427684605777724	zik	4	corpus	24358	8570080167	kerékpározik
keseredik	keseredek	keseredem	136	5	3.1282214566000697	NA	3	corpus	22200	8570080167	kešeredik
kettőzik	kettőzök	kettőzöm	6	1	1.252762968495368	zik	2	corpus	1835	8570080167	kettőzik
kezdődik	kezdődök	kezdődöm	170	33	1.6153030318864985	NA	2	corpus	1316010	8570080167	kezdődik
kezeskedik	kezeskedek	kezeskedem	40	330	-2.088546308672755	NA	3	corpus	3469	8570080167	kezeškedik
kisebbedik	kisebbedek	kisebbedem	3	1	0.6931471805599453	NA	3	corpus	1371	8570080167	kišebbedik
kitárulkozik	kitárulkozok	kitárulkozom	9	113	-2.4336133554004498	zik	4	corpus	4038	8570080167	kitárulkozik
kiáltozik	kiáltozok	kiáltozom	45	105	-0.8347976976229721	zik	3	corpus	13243	8570080167	kiáltozik
kiéleződik	kiéleződök	kiéleződöm	1	2	-0.4054651081081645	NA	4	corpus	6075	8570080167	kiéleződik
klaráglik	klaráglok	klaráglom	20	7	0.965080896043587	-lik	2	nonword	NA	NA	klaráglik
klibamlik	klibamlok	klibamlom	16	10	0.4353180712578455	-lik	2	nonword	NA	NA	klibamlik
klidlik	klidlok	klidlom	21	8	0.8938178760220965	-lik	1	nonword	NA	NA	klidlik
klivaslik	klivaslok	klivaslom	19	7	0.9162907318741552	-lik	2	nonword	NA	NA	klivašlik
klárzik	klárzok	klárzom	13	13	0	-zik	1	nonword	NA	NA	klárzik
klétszik	klétszek	klétszem	11	15	-0.2876820724517809	-szik	1	nonword	NA	NA	klétsik
klörlik	klörlök	klörlöm	18	9	0.6418538861723947	-lik	1	nonword	NA	NA	klörlik
kocsikázik	kocsikázok	kocsikázom	86	18	1.5214691394881432	zik	3	corpus	5753	8570080167	kočikázik
komolyodik	komolyodok	komolyodom	6	17	-0.9444616088408514	NA	3	corpus	3885	8570080167	komojodik
komolytalankodik	komolytalankodok	komolytalankodom	20	4	1.4350845252893227	NA	5	corpus	492	8570080167	komojtalankodik
komorodik	komorodok	komorodom	5	4	0.1823215567939546	NA	3	corpus	605	8570080167	komorodik
komédiázik	komédiázok	komédiázom	13	7	0.5596157879354227	zik	4	corpus	1738	8570080167	komédiázik
konszolidálódik	konszolidálódok	konszolidálódom	2	2	0	NA	5	corpus	3601	8570080167	konsolidálódik
kontárkodik	kontárkodok	kontárkodom	45	92	-0.703958096664161	NA	3	corpus	1129	8570080167	kontárkodik
kopaszodik	kopaszodok	kopaszodom	42	168	-1.3686985992295109	NA	3	corpus	3051	8570080167	kopasodik
korcsolyázik	korcsolyázok	korcsolyázom	65	260	-1.374865665296268	zik	3	corpus	13624	8570080167	korčojázik
korlátozódik	korlátozódok	korlátozódom	9	33	-1.2237754316221157	NA	4	corpus	62047	8570080167	korlátozódik
korosodik	korosodok	korosodom	7	77	-2.277267285009756	NA	3	corpus	1301	8570080167	korošodik
korteskedik	korteskedek	korteskedem	13	6	0.6931471805599453	NA	3	corpus	844	8570080167	korteškedik
korzózik	korzózok	korzózom	12	8	0.36772478012531734	zik	2	corpus	2269	8570080167	korzózik
kosarazik	kosarazok	kosarazom	110	83	0.2787134024690205	zik	3	corpus	7721	8570080167	košarazik
kosárlabdázik	kosárlabdázok	kosárlabdázom	54	58	-0.07020425867324857	zik	4	corpus	5674	8570080167	košárlabdázik
kotnyeleskedik	kotnyeleskedek	kotnyeleskedem	20	5	1.252762968495368	NA	4	corpus	479	8570080167	kotṉeleškedik
kotorászik	kotorászok	kotorászom	250	90	1.0145934326149335	szik	3	corpus	7658	8570080167	kotorásik
kotródik	kotródok	kotródom	14	7	0.6286086594223741	NA	2	corpus	1221	8570080167	kotródik
kufárkodik	kufárkodok	kufárkodom	3	3	0	NA	3	corpus	698	8570080167	kufárkodik
kukacoskodik	kukacoskodok	kukacoskodom	63	71	-0.11778303565638353	NA	4	corpus	1681	8570080167	kukacoškodik
kuktáskodik	kuktáskodok	kuktáskodom	1	7	-1.3862943611198906	NA	3	corpus	445	8570080167	kuktáškodik
kumlik	kumlok	kumlom	25	4	1.6486586255873816	-lik	1	nonword	NA	NA	kumlik
