lemma	predicted_p	base	variant1	variant2	freq1	freq2	log_odds	derivational	nsyl	type	lemma_freq_corrected	corpus_size	out	alpha	sigma
špröksik	0.36100927264890975	sprökszik	sprökszök	sprökszöm	11	15	-0.2876820724517809	-szik	1	nonword	NA	NA	0.4285714285714286	1	20
špuboṉlik	0.4907406730726952	spubonylik	spubonylok	spubonylom	23	6	1.2321436812926323	-lik	2	nonword	NA	NA	0.7741935483870968	1	20
špáraklik	0.40261082398754405	spáraklik	spáraklok	spáraklom	18	11	0.4595323293784402	-lik	2	nonword	NA	NA	0.6129032258064516	1	20
špélsik	0.40631942051246045	spélszik	spélszek	spélszem	16	11	0.3483066942682158	-szik	1	nonword	NA	NA	0.5862068965517242	1	20
špéšlik	0.5203024043484121	spéslik	spéslek	spéslem	21	6	1.1451323043030026	-lik	1	nonword	NA	NA	0.7586206896551725	1	20
špírzik	0.42205631798163395	spírzik	spírzok	spírzom	13	13	0	-zik	1	nonword	NA	NA	0.5	1	20
špüjzik	0.43772133238079997	spüjzik	spüjzök	spüjzöm	21	8	0.8938178760220965	-zik	1	nonword	NA	NA	0.7096774193548386	1	20
špülöklik	0.4417079639645678	spülöklik	spülöklök	spülöklöm	15	11	0.28768207245178085	-lik	2	nonword	NA	NA	0.5714285714285714	1	20
špülőrzik	0.4037857611994098	spülőrzik	spülőrzök	spülőrzöm	17	9	0.5877866649021191	-zik	2	nonword	NA	NA	0.6428571428571428	1	20
špülűdzik	0.3575868242090546	spülűdzik	spülűdzök	spülűdzöm	13	16	-0.1941560144409575	-zik	2	nonword	NA	NA	0.45161290322580644	1	20
špüslik	0.4681233715818331	spüszlik	spüszlök	spüszlöm	14	12	0.14310084364067324	-lik	1	nonword	NA	NA	0.5357142857142857	1	20
špűmlik	0.4672686875323999	spűmlik	spűmlök	spűmlöm	23	4	1.5686159179138452	-lik	1	nonword	NA	NA	0.8275862068965518	1	20
šűzlik	0.4169429489736399	sűzlik	sűzlök	sűzlöm	14	12	0.14310084364067324	-lik	1	nonword	NA	NA	0.5357142857142857	1	20
ḏibaksik	0.3352221061744687	gyibakszik	gyibakszok	gyibakszom	9	17	-0.587786664902119	-szik	2	nonword	NA	NA	0.35714285714285715	1	20
ḏibešlik	0.5516713391691486	gyibeslik	gyibeslek	gyibeslem	18	9	0.6418538861723947	-lik	2	nonword	NA	NA	0.6551724137931034	1	20
ḏivádzik	0.414102574510858	gyivádzik	gyivádzok	gyivádzom	9	18	-0.6418538861723948	-zik	2	nonword	NA	NA	0.3448275862068965	1	20
ṉášlik	0.48966788188002663	nyáslik	nyáslok	nyáslom	17	9	0.5877866649021191	-lik	1	nonword	NA	NA	0.6428571428571428	1	20
